user_genome	reference_genome	fastani_ani	fastani_af	reference_taxonomy	satisfies_gtdb_circumscription_criteria
bin.1	no result	no result	no result	no result
bin.10	no result	no result	no result	no result
bin.100	no result	no result	no result	no result
bin.101	no result	no result	no result	no result
bin.102	no result	no result	no result	no result
bin.103	no result	no result	no result	no result
bin.104	no result	no result	no result	no result
bin.105	no result	no result	no result	no result
bin.106	no result	no result	no result	no result
bin.107	no result	no result	no result	no result
bin.108	no result	no result	no result	no result
bin.109	no result	no result	no result	no result
bin.11	no result	no result	no result	no result
bin.110	no result	no result	no result	no result
bin.111	no result	no result	no result	no result
bin.112	no result	no result	no result	no result
bin.113	no result	no result	no result	no result
bin.114	GCF_000364245.1	98.0924	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000364245	True
bin.115	no result	no result	no result	no result
bin.116	no result	no result	no result	no result
bin.117	GCF_000403455.2	98.8633	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403455	True
bin.118	no result	no result	no result	no result
bin.119	no result	no result	no result	no result
bin.12	no result	no result	no result	no result
bin.120	no result	no result	no result	no result
bin.121	no result	no result	no result	no result
bin.122	no result	no result	no result	no result
bin.123	no result	no result	no result	no result
bin.124	GCF_000403355.2	96.8451	0.8	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia caecimuris	True
bin.125	no result	no result	no result	no result
bin.126	no result	no result	no result	no result
bin.127	no result	no result	no result	no result
bin.128	no result	no result	no result	no result
bin.129	no result	no result	no result	no result
bin.13	no result	no result	no result	no result
bin.130	no result	no result	no result	no result
bin.131	no result	no result	no result	no result
bin.132	no result	no result	no result	no result
bin.133	no result	no result	no result	no result
bin.14	no result	no result	no result	no result
bin.15	no result	no result	no result	no result
bin.16	GCF_003833075.1	97.9353	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	True
bin.17	no result	no result	no result	no result
bin.18	no result	no result	no result	no result
bin.19	no result	no result	no result	no result
bin.2	no result	no result	no result	no result
bin.20	no result	no result	no result	no result
bin.21	GCA_002311155.1	98.5792	0.79	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp002311155	True
bin.22	no result	no result	no result	no result
bin.23	no result	no result	no result	no result
bin.24	GCA_002490635.1	98.6349	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635	True
bin.25	no result	no result	no result	no result
bin.26	no result	no result	no result	no result
bin.27	no result	no result	no result	no result
bin.28	no result	no result	no result	no result
bin.29	no result	no result	no result	no result
bin.3	no result	no result	no result	no result
bin.30	no result	no result	no result	no result
bin.31	no result	no result	no result	no result
bin.32	no result	no result	no result	no result
